guid/image,label
01aaa345-52ad-4939-8207-2d39c11acfdc/0000,0
01aaa345-52ad-4939-8207-2d39c11acfdc/0001,1
01aaa345-52ad-4939-8207-2d39c11acfdc/0002,0
01aaa345-52ad-4939-8207-2d39c11acfdc/0003,1
01aaa345-52ad-4939-8207-2d39c11acfdc/0004,1
01aaa345-52ad-4939-8207-2d39c11acfdc/0005,2
01aaa345-52ad-4939-8207-2d39c11acfdc/0006,1
01aaa345-52ad-4939-8207-2d39c11acfdc/0007,0
01aaa345-52ad-4939-8207-2d39c11acfdc/0008,1
01aaa345-52ad-4939-8207-2d39c11acfdc/0009,1
01aaa345-52ad-4939-8207-2d39c11acfdc/0010,1
01aaa345-52ad-4939-8207-2d39c11acfdc/0011,0
01aaa345-52ad-4939-8207-2d39c11acfdc/0012,2
01aaa345-52ad-4939-8207-2d39c11acfdc/0013,2
01aaa345-52ad-4939-8207-2d39c11acfdc/0014,0
01aaa345-52ad-4939-8207-2d39c11acfdc/0015,1
01aaa345-52ad-4939-8207-2d39c11acfdc/0016,1
01aaa345-52ad-4939-8207-2d39c11acfdc/0017,0
01aaa345-52ad-4939-8207-2d39c11acfdc/0018,2
01aaa345-52ad-4939-8207-2d39c11acfdc/0019,2
01aaa345-52ad-4939-8207-2d39c11acfdc/0020,2
01aaa345-52ad-4939-8207-2d39c11acfdc/0021,2
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0000,1
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0001,1
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0002,1
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0003,1
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0004,1
01bb984a-d3f1-4ba5-b0c0-5242533efa4d/0005,1
02a0f3cc-dc81-417d-a9fd-b6066711c610/0000,2
02a0f3cc-dc81-417d-a9fd-b6066711c610/0001,2
02a0f3cc-dc81-417d-a9fd-b6066711c610/0002,2
02a0f3cc-dc81-417d-a9fd-b6066711c610/0003,2
